App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Subjectivity,Category_Display
Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.641540404040404,ART_AND_DESIGN
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.5234474150677855,ART_AND_DESIGN
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.6792261904761905,ART_AND_DESIGN
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.4792982456140351,ART_AND_DESIGN
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.5727620177523428,ART_AND_DESIGN
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.5463650793650794,ART_AND_DESIGN
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.5071180555555556,ART_AND_DESIGN
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.5367647058823529,ART_AND_DESIGN
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.5360009824483508,ART_AND_DESIGN
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.477825176366843,AUTO_AND_VEHICLES
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.49431821273964127,AUTO_AND_VEHICLES
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.559805860222877,AUTO_AND_VEHICLES
